Commodity,State,District,Market,Arrival_Date,Modal Price
Ajwan,Gujarat,Ahmedabad,Mandal,30-07-2023,14250
Ajwan,Rajasthan,Chittorgarh,Pratapgarh,01-08-2023,15758
Ajwan,Gujarat,Jamnagar,Jamnagar,01-08-2023,17350
Ajwan,Andhra Pradesh,Kurnool,Kurnool,01-08-2023,17220
Ajwan,Gujarat,Mehsana,Unjha,01-08-2023,15750
Ajwan,Gujarat,Surendranagar,Dhragradhra,28-07-2023,6262
Ajwan,Gujarat,Surendranagar,Dhragradhra,31-07-2023,12000
Alasande Gram,Madhya Pradesh,Panna,Ajaygarh,01-08-2023,5050
Almond(Badam),Maharashtra,Mumbai,Mumbai,01-08-2023,75000
Alsandikai,Telangana,Adilabad,Laxettipet,31-07-2023,4500
Alsandikai,Telangana,Adilabad,Laxettipet,01-08-2023,4200
Alsandikai,Karnataka,Bangalore,Ramanagara,28-07-2023,3000
Alsandikai,Karnataka,Bangalore,Ramanagara,31-07-2023,3000
Alsandikai,Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",01-08-2023,3900
Alsandikai,Karnataka,Bangalore,Ramanagara,01-08-2023,3200
Amaranthus,Telangana,Adilabad,Chinnoar,01-08-2023,2000
Amaranthus,Kerala,Alappuzha,Harippad,27-07-2023,4000
Amaranthus,Kerala,Alappuzha,Harippad,28-07-2023,4000
Amaranthus,Kerala,Alappuzha,Harippad,29-07-2023,4000
Amaranthus,Kerala,Alappuzha,Kayamkulam,29-07-2023,3000
Amaranthus,Kerala,Alappuzha,Harippad,31-07-2023,4000
Amaranthus,Kerala,Alappuzha,Kayamkulam,31-07-2023,3200
Amaranthus,Kerala,Alappuzha,Madhavapuram,31-07-2023,2400
Amaranthus,Kerala,Alappuzha,Cherthala,01-08-2023,4600
Amaranthus,Kerala,Alappuzha,Harippad,01-08-2023,4000
Amaranthus,Kerala,Alappuzha,Kayamkulam,01-08-2023,3200
Amaranthus,Kerala,Alappuzha,Harippad,02-08-2023,4000
Amaranthus,Tripura,Dhalai,Kulai,01-08-2023,3200
Amaranthus,Kerala,Ernakulam,Aluva,29-07-2023,4500
Amaranthus,Kerala,Ernakulam,Angamaly,29-07-2023,3000
Amaranthus,Kerala,Ernakulam,Kothamangalam,29-07-2023,4500
Amaranthus,Kerala,Ernakulam,Perumbavoor,29-07-2023,3000
Amaranthus,Kerala,Ernakulam,Piravam,29-07-2023,3000
Amaranthus,Kerala,Ernakulam,Angamaly,31-07-2023,3000
Amaranthus,Kerala,Ernakulam,Perumbavoor,31-07-2023,3000
Amaranthus,Kerala,Ernakulam,Piravam,31-07-2023,3500
Amaranthus,Kerala,Ernakulam,Angamaly,01-08-2023,3000
Amaranthus,Kerala,Ernakulam,Perumbavoor,01-08-2023,3000
Amaranthus,Madhya Pradesh,Harda,Harda(F&V),28-07-2023,2200
Amaranthus,Kerala,Idukki,Adimali,29-07-2023,4000
Amaranthus,Kerala,Idukki,Adimali,31-07-2023,4000
Amaranthus,Kerala,Idukki,Adimali,01-08-2023,4000
Amaranthus,Kerala,Idukki,Vandiperiyar,01-08-2023,1050
Amaranthus,Kerala,Kannur,Payyannur,29-07-2023,3500
Amaranthus,Kerala,Kannur,Payyannur,31-07-2023,3500
Amaranthus,Kerala,Kasargod,Neeleswaram,29-07-2023,3000
Amaranthus,Kerala,Kasargod,Neeleswaram,01-08-2023,3000
Amaranthus,Kerala,Kollam,Anchal,28-07-2023,4600
Amaranthus,Kerala,Kollam,Kottarakkara,29-07-2023,5000
Amaranthus,Kerala,Kollam,Kottarakkara,31-07-2023,5000
Amaranthus,Kerala,Kollam,Kottarakkara,01-08-2023,5000
Amaranthus,Kerala,Kollam,Punalur,01-08-2023,3800
Amaranthus,Kerala,Kottayam,Pampady,31-07-2023,3200
Amaranthus,Kerala,Kottayam,Thalayolaparambu,31-07-2023,2500
Amaranthus,Kerala,Kottayam,Thalayolaparambu,01-08-2023,2500
Amaranthus,Kerala,Kozhikode(Calicut),Kallachi,28-07-2023,3000
Amaranthus,Kerala,Kozhikode(Calicut),Kallachi,29-07-2023,3000
Amaranthus,Kerala,Kozhikode(Calicut),Palayam,29-07-2023,1800
Amaranthus,Kerala,Kozhikode(Calicut),Perambra,29-07-2023,3000
Amaranthus,Kerala,Kozhikode(Calicut),Thamarassery,29-07-2023,2300
Amaranthus,Kerala,Kozhikode(Calicut),Perambra,31-07-2023,3000
Amaranthus,Kerala,Kozhikode(Calicut),Kallachi,01-08-2023,3000
Amaranthus,Kerala,Kozhikode(Calicut),Palayam,01-08-2023,2000
Amaranthus,Kerala,Kozhikode(Calicut),Perambra,01-08-2023,3000
Amaranthus,Kerala,Kozhikode(Calicut),Thamarassery,01-08-2023,2100
Amaranthus,Kerala,Malappuram,Kondotty,28-07-2023,2500
Amaranthus,Kerala,Malappuram,Kondotty,29-07-2023,2500
Amaranthus,Kerala,Malappuram,Manjeri,29-07-2023,1850
Amaranthus,Kerala,Malappuram,Kottakkal,31-07-2023,1980
Amaranthus,Kerala,Malappuram,Manjeri,31-07-2023,1850
Amaranthus,Kerala,Malappuram,Thirurrangadi,31-07-2023,5500
Amaranthus,Kerala,Malappuram,Kondotty,01-08-2023,2500
Amaranthus,Kerala,Malappuram,Kottakkal,01-08-2023,1980
Amaranthus,Kerala,Malappuram,Manjeri,01-08-2023,1850
Amaranthus,Kerala,Palakad,Pattambi,28-07-2023,1300
Amaranthus,Kerala,Palakad,Palakkad,31-07-2023,2600
Amaranthus,Kerala,Palakad,Palakkad,31-07-2023,2600
Amaranthus,Kerala,Palakad,Pattambi,31-07-2023,1100
Amaranthus,Kerala,Palakad,Palakkad,01-08-2023,2600
Amaranthus,Kerala,Palakad,Palakkad,01-08-2023,2600
Amaranthus,Kerala,Palakad,Pattambi,01-08-2023,1100
Amaranthus,Kerala,Pathanamthitta,Kuttoor,29-07-2023,3800
Amaranthus,Kerala,Pathanamthitta,Ezhamkulam,30-07-2023,3000
Amaranthus,Gujarat,Surendranagar,Vadhvan,28-07-2023,3000
Amaranthus,Gujarat,Surendranagar,Vadhvan,31-07-2023,3250
Amaranthus,Kerala,Thirssur,Chelakkara,28-07-2023,2500
Amaranthus,Kerala,Thirssur,Thrissur,29-07-2023,2100
Amaranthus,Kerala,Thirssur,Chelakkara,31-07-2023,2600
Amaranthus,Kerala,Thirssur,Chelakkara,01-08-2023,2500
Amaranthus,Kerala,Thirssur,Thrissur,01-08-2023,2100
Amaranthus,Kerala,Thiruvananthapuram,Anyara(EEC),29-07-2023,2800
Amaranthus,Kerala,Thiruvananthapuram,Neyyatinkara,29-07-2023,3700
Amaranthus,Kerala,Thiruvananthapuram,Aralamoodu,31-07-2023,5000
Amaranthus,Kerala,Thiruvananthapuram,Neyyatinkara,31-07-2023,3700
Amaranthus,Kerala,Thiruvananthapuram,Vamanapuram,31-07-2023,3500
Amaranthus,Kerala,Thiruvananthapuram,Neyyatinkara,01-08-2023,3600
Amaranthus,Kerala,Thiruvananthapuram,Parassala,01-08-2023,5000
Amaranthus,Kerala,Wayanad,Pulpally,29-07-2023,2300
Amaranthus,Kerala,Wayanad,Pulpally,31-07-2023,2300
Amla(Nelli Kai),Himachal Pradesh,Hamirpur,Hamirpur,28-07-2023,4200
Amla(Nelli Kai),Telangana,Hyderabad,Bowenpally,28-07-2023,4000
Amla(Nelli Kai),Telangana,Hyderabad,Bowenpally,29-07-2023,3500
Amla(Nelli Kai),Telangana,Hyderabad,Bowenpally,01-08-2023,3200
Amla(Nelli Kai),Kerala,Malappuram,Kondotty,28-07-2023,3500
Amla(Nelli Kai),Kerala,Malappuram,Kondotty,29-07-2023,3600
Amla(Nelli Kai),Kerala,Malappuram,Kottakkal,31-07-2023,3850
Amla(Nelli Kai),Kerala,Malappuram,Kondotty,01-08-2023,3500
Amla(Nelli Kai),Kerala,Malappuram,Kottakkal,01-08-2023,3650
Amla(Nelli Kai),Maharashtra,Pune,Pune,28-07-2023,3000
Amla(Nelli Kai),Maharashtra,Pune,Pune,31-07-2023,2800
Amla(Nelli Kai),Maharashtra,Pune,Pune,01-08-2023,2500
Amphophalus,Kerala,Alappuzha,Harippad,27-07-2023,5000
Amphophalus,Kerala,Alappuzha,Chengannur,28-07-2023,5000
Amphophalus,Kerala,Alappuzha,Harippad,28-07-2023,5000
Amphophalus,Kerala,Alappuzha,Aroor,29-07-2023,5100
Amphophalus,Kerala,Alappuzha,Chengannur,29-07-2023,5000
Amphophalus,Kerala,Alappuzha,Harippad,29-07-2023,5000
Amphophalus,Kerala,Alappuzha,Kayamkulam,29-07-2023,4400
Amphophalus,Kerala,Alappuzha,Mannar,29-07-2023,5100
Amphophalus,Kerala,Alappuzha,Aroor,31-07-2023,5300
Amphophalus,Kerala,Alappuzha,Chengannur,31-07-2023,5500
Amphophalus,Kerala,Alappuzha,Harippad,31-07-2023,5000
Amphophalus,Kerala,Alappuzha,Kayamkulam,31-07-2023,4500
